# product-capability-coverage-version: 1
# source-snapshot: 130cdc24bb493349d9b3f3c531198b7bb5fec3df
# source-tree-sha256: 721e0b9538fb8225f8c773b904b1e98c388ea3e518ad818e9ce3e5f0d8dde3ce
# source-tree-digest-algorithm: sha256(git ls-tree -r --full-tree source-snapshot)
# digest-algorithm: sha256(raw bytes of evidence_locator at source-snapshot)
# dispositions: adopted adapted rejected irrelevant
# expected-feature-count: 112
feature_id	capability_key	description	disposition	requirement	acceptance	decision	evidence_locator	evidence_sha256	rationale
CAP-011	repository_diff_view	Repository changes and diffs are inspectable without starting or mutating a runtime.	adopted	PRD-RUN-006	ACP-RUN-006	ADR-059	src/renderer/nodes/DiffNode.tsx	66f3c868541b78a62772bddfcff8247529721bdfe81b7682a75a00374957f912	Diff inspection belongs to the selected repository scope.
CAP-012	isolated_web_browser_video	Static web previews, interactive browsing and video are distinct isolated resource capabilities.	adopted	PRD-RUN-012	ACP-RUN-012	ADR-066	src/renderer/state/workspace.ts	7de572f2aaa302d7088bdb8aab5bf9417382c266382e74572474149852170e97	The source exposes separate web, browser and video node kinds; Turn adopts the distinction as non-substitutable WebPreview, Browser and Media capabilities with explicit isolation and lifecycle.
CAP-013	bounded_media_import	Dropped or pasted media becomes a bounded inert resource rather than executable workspace input.	adapted	PRD-RUN-012	ACP-RUN-012	ADR-066	src/core/canvas-images.ts	aa751a113738e6b4516785c47a5c616704cbe02e60953f3ea2fec6689eaab0a3	The source bounds and exclusive-creates pasted or dropped image bytes only; Turn adapts this to MIME-declared image or video MediaImport with sealed hash, recovery saga, decoder isolation and no executable authority.
CAP-014	creation_command_palette	Toolbar, palette and context actions share one searchable creation and command catalogue.	adapted	PRD-CRE-009	ACP-CRE-009	ADR-066	src/renderer/components/CommandPalette.tsx	e93fb95ac7cf3ad5200d7227192daf93b671661c5ce1e8f84cd6648f9e86c0e7	The source palette executes renderer callbacks; Turn retains its searchable interaction but replaces callback authority with one revisioned typed CommandCatalogue shared by toolbar, palette, menus and shortcuts.
CAP-015	keyboard_shortcuts	Creation, navigation, close, search, panels and settings expose discoverable keyboard paths.	adopted	PRD-SCL-004	ACP-SCL-004	ADR-061	src/renderer/components/ShortcutsPanel.tsx	bbec625c4543dc014d6146afcf847ae533a61440cd5b1ec82bbbddc15cabf078	Keyboard completeness is required for high-volume operation and accessibility.
CAP-016	undo_redo_state	Reversible presentation mutations have deterministic undo and redo semantics under revisioned state.	adapted	PRD-SAF-015	ACP-SAF-015	ADR-066	src/renderer/canvas/Canvas.tsx	dface13fc8e706bac0ca42ef9fc43d0fb05a4fffdbe808c48598221eaa66944c	The source records whole-canvas presentation snapshots; Turn narrows this to eight presentation-only operations, including constant-size expand-all, with exact inverses and structurally excludes runtime, provider, SCM and authority effects.
CAP-017	persisted_workspace_layout	Workspace organisation, selection and recoverable resources persist without implicitly launching work.	adopted	PRD-LIF-005	ACP-LIF-005	ADR-059	src/core/workspace-store.ts	63d626da5597c03a43b8e2d8bfe6d6d9dcd045469840905e7d47b1011ccf2d9e	Saved presentation is data; restoration never fabricates runtime authority.
CAP-018	workspace_new_open	First run can create a new workspace or open an existing local directory with bounded preflight.	adopted	PRD-CRE-008	ACP-CRE-008	ADR-065	src/renderer/components/WelcomeScreen.tsx	ab62e202eec0b536fcde65f7813d5205ab906e4cd61f5bc67d03515dfe41cb5d	The onboarding path is brought into the shared catalogue and receipt model.
CAP-019	repository_clone_onboarding	A repository can be cloned into a reviewed destination with idempotent progress and partial-failure recovery.	adopted	PRD-CRE-008	ACP-CRE-008	ADR-065	src/renderer/components/CloneRepoDialog.tsx	3853d82678867aff570518bfdd62be53b2aab747a965bd9e17a33d686dedcf4c	Clone is treated as an explicit operation rather than an opaque setup side effect.
CAP-020	ssh_workspace_onboarding	An SSH target can be adopted as a workspace after identity, root, capability and credential preflight.	adopted	PRD-CRE-008	ACP-CRE-008	ADR-065	src/renderer/components/SshProjectDialog.tsx	e9bf42bbaedb06807b64ecd70771f3515df67cf6032b468c0eb7a5c68b374480	Remote onboarding never falls back to a same-named local path.
CAP-021	explicit_repository_publish	Repository publication is an explicit previewed operation with remote, branch and credential receipts.	adopted	PRD-CRE-008	ACP-CRE-008	ADR-065	src/renderer/components/PublishDialog.tsx	1de1e52d8ba1ce4e2920b9dd6501387815a1c25a5cfe172aa5f6d8cf18b4ec79	Publish stays separate from create and is never automatic or remotely delegated.
CAP-022	safe_automatic_titles	Captured task or output may propose a bounded safe alias while manual names always win.	adapted	PRD-OBS-011	ACP-OBS-011	ADR-065	src/core/agent-session-name.ts	059262eb6f1714759b864a3d1f4ef5e8ac106679e6459e3fd67da1e06f90e124	Turn separates local presentation aliases from provider conversation identity and title mutation.
CAP-023	six_dedicated_agent_adapters	Claude Code, Codex, Gemini, OpenCode, GitHub Copilot and Grok have dedicated versioned adapter identities.	adopted	PRD-ADP-012	ACP-ADP-012	ADR-065	src/shared/agents/config.ts	56c51438cf1fd651ed31a51c885a977b82defc5e1f40dfce048337e15ff3900b	The complete measured roster enters one capability matrix instead of provider branches in core or UI.
CAP-024	custom_agent_entries	Operator-declared agents use the generic adapter contract and cannot acquire unproved semantics.	adopted	PRD-ADP-003	ACP-ADP-003	ADR-062	src/shared/agents/config.ts	56c51438cf1fd651ed31a51c885a977b82defc5e1f40dfce048337e15ff3900b	Custom commands remain useful while unsupported capabilities stay explicit.
CAP-025	adapter_capability_probes	Agent availability, version, launch modes and integration mechanisms are discovered and degrade independently.	adapted	PRD-ADP-007	ACP-ADP-007	ADR-062	src/shared/agents/config.ts	56c51438cf1fd651ed31a51c885a977b82defc5e1f40dfce048337e15ff3900b	The source mainly uses static capability membership lists plus a few CLI-specific version probes; Turn adapts this into per-adapter, version, target and mechanism capability evidence with independent degradation.
CAP-026	normalized_agent_hooks	Provider-specific hook dialects reduce into one versioned lifecycle and topology observation contract.	adopted	PRD-TOP-001	ACP-TOP-001	ADR-062	src/core/agents/hooks/index.ts	985fcdb2245ba051d48e7249f0b3dda3bebffd0cef92855107b62283f39eca09	Structured observations are retained without leaking provider branches beyond adapters.
CAP-027	agent_turn_lifecycle	Working, waiting, blocked, done and interrupted evidence survives reconnect and resolves deterministically.	adopted	PRD-TOP-009	ACP-TOP-009	ADR-062	src/core/agent-status-mirror.ts	831163ef34e04ac96a7de638dea7bf96d9a3d60697a93e853bdc94a867182ea7	Turn keeps process lifecycle and turn state separate while routing both consistently.
CAP-028	recursive_subagent_topology	Subagents are discovered as stable recursive children with causal parent and attempt identity.	adapted	PRD-HIE-004	ACP-HIE-004	ADR-059	src/core/subagent-tail.ts	f0414f07384b32cf1740f0da7b6e32f3068c19f7e2db98fbe0c0b1f179cb900d	The source discovers Claude subagents from transcript tails; Turn adapts provider-specific observations from every dedicated adapter plus OS inference into stable recursive topology with causal parent and attempt provenance.
CAP-029	subagent_live_activity	A subagent exposes bounded transcript, timing, task and result even when it owns no PTY.	adapted	PRD-TOP-005	ACP-TOP-005	ADR-062	src/renderer/nodes/SubagentNode.tsx	4aef899001b386c7b48a414df7a2a1fda04bf7794552c1dac1ed7d2921fe6b93	The source renders provider-specific subagent cards; Turn generalises them to provider-neutral canonical child nodes with bounded live activity and typed result even without a PTY.
CAP-030	conversation_context_meter	Per-conversation context use is shown with known units, window and freshness rather than guessed percentages.	adopted	PRD-OBS-002	ACP-OBS-002	ADR-059	src/renderer/components/ContextMeter.tsx	b4a4bfc00051a68e3de0bea34c20f13e91593c24c1169c278d149f85dc0344df	Context consumption remains distinct from billing quota.
CAP-031	account_quota_connectors	Account usage connectors cover Claude, Codex, Gemini, OpenCode, Grok, Kimi and MiniMax with independent scope and failure.	adapted	PRD-ADP-012	ACP-ADP-012	ADR-065	src/core/usage/usage-service.ts	8257cc3dcfe384b194c85e3ef726a8f8359d754f39bcc700e6e9175ca054ba44	Kimi and MiniMax are required quota-only connectors; each dedicated adapter reports quota only when proved and otherwise exposes explicit unsupported state rather than a false value.
CAP-032	multiple_managed_profiles	Several isolated authenticated provider profiles can coexist and launch exact frozen account bindings.	adapted	PRD-OBS-008	ACP-OBS-008	ADR-063	src/core/claude-accounts-core.ts	6427795d256698e7e58db1f96db9750dc8808ed83e2ac82bb91b29636e41b2c6	The source isolates several Claude homes and accounts; Turn generalises that behavior to provider-neutral AccountProfiles with exact target and profile binding and no cross-profile leakage.
CAP-033	model_mode_flag_receipts	Requested and effective model, approval mode, flags, cwd, target and worktree are visible per attempt.	adapted	PRD-OBS-001	ACP-OBS-001	ADR-059	src/renderer/state/workspace.ts	7de572f2aaa302d7088bdb8aab5bf9417382c266382e74572474149852170e97	The source persists requested model, account, cwd, worktree and flags but does not prove effective or current values; Turn adds requested, effective and current per-attempt receipts with provenance.
CAP-034	byok_model_gateway	A scoped model endpoint can route supported agents through an operator-owned credential reference and explicit model mapping.	adopted	PRD-ADP-013	ACP-ADP-013	ADR-065	src/shared/agents/model-gateway.ts	ece44dc0c324cbc1a717d03c91c30dbe13ae4880acbd7e5132eae2d18912c773	Gateway health, endpoint identity, TLS and effective launch receipt are modeled as a separate capability.
CAP-035	provider_conversation_inventory	Provider history can be discovered and paged as metadata by exact profile and target without reading bodies, implicit launch or adoption.	adapted	PRD-CTX-013	ACP-CTX-013	ADR-064	src/core/transcript-index.ts	36eed013a22c759745139b3a23c6cdd75c740829657727658de4e28186f0e528	The frozen source has a real metadata-only scan phase: scanTranscripts inventories Claude files as session id, path and modification time across local roots before any body read, but exposes neither a profile-bound nor paginated inventory. Turn adapts only that discovery facet into an exact provider, AccountProfile and ExecutionTarget ConversationInventory; body indexing remains the separate CAP-110 capability.
CAP-036	native_resume_continuity	A saved provider conversation may resume through a capability-gated native operation with continuity evidence.	adopted	PRD-LIF-002	ACP-LIF-002	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	Resume is distinct from restart, attach and portable handoff.
CAP-037	explicit_conversation_branch	A supported conversation can branch while preserving source and new lineage identities.	adopted	PRD-CTX-005	ACP-CTX-005	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	Turn labels provider branch, continuation and portable derivation separately.
CAP-038	scoped_context_links	One agent can pull bounded transcript context from another through an explicit revocable grant.	adopted	PRD-CTX-001	ACP-CTX-001	ADR-059	src/core/context-link.ts	102f79db947cdfa9917dfc78ba2161b396e26ffa3e36995dbfd53e2053a7715d	Cross-agent context transfer never implies control or ancestry.
CAP-039	portable_context_handoff	A reviewed digest and exact recent tail can move work between different agent adapters with a delivery receipt.	adopted	PRD-CTX-003	ACP-CTX-003	ADR-059	src/main/handoff/index.ts	19f5923c131b558bf739dfa9bebccff1569a2e5e7be51c94c213992617627102	Portable handoff is budgeted, preserves digest/tail/omission evidence and does not claim native continuity.
CAP-040	asynchronous_agent_messages	Agents can exchange bounded typed messages through queues with durable state and independent delivery receipts.	adapted	PRD-CTX-006	ACP-CTX-006	ADR-059	src/core/agents/delivery-queue.ts	2265224c11a6b5bf25c3e6977d15065f5d0b79bad80a77819f51be794099bd72	The source has bounded PTY messaging and explicitly in-memory deliver-on-idle queues with no restart catch-up; Turn adapts them to bounded typed queues with durable metadata/evidence, explicit body-loss outcomes and no synchronous join or hidden control.
CAP-041	team_fanout	An operator or bounded flow can create several role-labelled agents and retain each independent result.	adapted	PRD-FLW-005	ACP-FLW-005	ADR-061	src/renderer/components/SpawnTeamDialog.tsx	e6336d9efc280fdcd478b3684d155afe792908274689fc167a59e334d2cbb969	The source spawns a presentation-level role-labelled team; Turn adapts it into an immutable versioned FlowRun that preserves every independent result and gates synthesis or judging.
CAP-042	native_recurring_jobs	Provider-native loops, schedules and background jobs have stable identity, iterations and independent controls.	adopted	PRD-ADP-011	ACP-ADP-011	ADR-064	src/renderer/nodes/LoopNode.tsx	da0e4b4f028582903bed28a3d779db18317f48776bdd86d75083484833de48b8	Native job truth remains distinct from Turn Flow recurrence.
CAP-043	delegated_agent_operations	An agent may create and organise bounded resources through typed capability endpoints with durable receipts.	adapted	PRD-FLW-004	ACP-FLW-004	ADR-061	src/main/canvas-control-core.ts	533a45526879e7b07dcf8810d1ea914f68983a350acc5b77c89338339b0e4844	The source exposes broad direct canvas-control verbs; Turn adapts them into the exact current-agent DelegationGrant allowlist for bounded creation, organisation, context and messaging, with durable receipts, no self-expansion and no prose-derived authority.
CAP-044	conversation_title_read_rename	Conversation title reading and provider rename are separately discovered, fenced and receipted.	adopted	PRD-OBS-009	ACP-OBS-009	ADR-064	src/core/agent-session-name.ts	059262eb6f1714759b864a3d1f4ef5e8ac106679e6459e3fd67da1e06f90e124	Either operation may degrade without inventing the other.
CAP-045	attention_queue_authority	Operator interruption is ordered from actionable evidence rather than visual placement or terminal output polling.	adapted	PRD-OUT-003	ACP-OUT-003	ADR-061	src/core/agent-status-mirror.ts	831163ef34e04ac96a7de638dea7bf96d9a3d60697a93e853bdc94a867182ea7	Turn elevates this behavior into the sole routing authority across every surface.
CAP-046	running_needs_input_done_status	Agent running, input-required and completed states produce consistent badges, unread state and timing.	adopted	PRD-OBS-004	ACP-OBS-004	ADR-059	src/renderer/state/agentStatus.ts	ef3aa1a67989f323c6cc2e9d9e3d1c63eaba7beda5ac563f623c1ab399e09be4	The source renderer state owns lifecycle presentation, unread state and timing; Turn adopts those facts as telemetry while typed demands remain the sole Attention authority.
CAP-047	typed_permission_answers	A permission can be answered against its exact interaction revision and remains pending until provider evidence closes it.	adapted	PRD-ATT-011	ACP-ATT-011	ADR-064	src/core/agents/pending-approvals.ts	802f011922b2a4fc6a80468fd850352049f43f7bf0bed9a9a8db766b1c4c1a85	The source uses Claude-specific local allow or deny files and optimistically flips status before provider confirmation; Turn adapts this to provider-neutral exact interaction claims, reconciliation, remote single-use grants and pending state until provider evidence.
CAP-048	desktop_notifications	Actionable changes can notify the operator outside the window without resolving or acknowledging them.	adopted	PRD-ATT-003	ACP-ATT-003	ADR-059	src/main/notifications.ts	6417eb2a1503c1dfe8fd02302ad64bc528867a5bdbe38518d5e58582216059a0	Notifications route back through the same canonical Attention target.
CAP-049	compact_attention_hud	A compact desktop projection shows urgent agent state and routes to the canonical demand.	adapted	PRD-ATT-003	ACP-ATT-003	ADR-059	src/main/notch-hud-model.ts	63c514925fb4f23876b7b11edfb393cc9d32c617e93ba25ba10d16242ac22f2f	The source HUD maintains its own focus and dismissal accumulator; Turn retains the compact projection but removes its state authority so it reads and routes only canonical Attention entries.
CAP-050	background_push_delivery	Background and headless processes can send deduplicated privacy-bounded Attention push envelopes.	adopted	PRD-ATT-012	ACP-ATT-012	ADR-065	src/core/push-notify.ts	2f0c74e2d427e6146a2acef30153921557535ee34e8f4cc869ae4f424687e26a	The source proves background delivery from actionable and completion edges; Turn adopts delivery as a privacy-bounded projection of canonical Attention while keeping acceptance, delivery, reading and demand resolution separate.
CAP-051	push_grants_lifecycle	Device notification grants are scope-bound, expiring, revocable and resilient to dead tokens and offline clients.	adopted	PRD-ATT-012	ACP-ATT-012	ADR-065	src/core/push-grants.ts	d957051b23bf4a0e189b99c4dea13aae1f31b2bd2fa9636f520900b3037bc911	The source proves device-scoped grant loading and dead-token recovery; Turn adopts that lifecycle and adds exact workspace, demand-kind, privacy, expiry and rate scope.
CAP-052	companion_usage_inbox	A companion can project account usage and a bounded recent activity inbox with truthful coverage.	adopted	PRD-SCL-010	ACP-SCL-010	ADR-064	src/core/agent-status-mirror.ts	831163ef34e04ac96a7de638dea7bf96d9a3d60697a93e853bdc94a867182ea7	The source mirror carries per-account usage and a bounded per-node activity inbox; Turn adopts the companion projection with exact profile, target, coverage and freshness.
CAP-053	headless_outbound_notifications	A headless host observes local hooks and sends outbound notifications without opening an inbound control port.	adopted	PRD-ATT-012	ACP-ATT-012	ADR-065	src/core/remote-push-grants.ts	c46685503f4be2110d2e35559b16c71c16ce233a997670be6e8979aa8bbc5f8c	Loopback observation and outbound-only delivery preserve the zero-listener deployment boundary.
CAP-054	focus_safe_attention_navigation	Automatic focus defers during typing, alternate-screen input, modal work and voice review without dropping the demand.	adapted	PRD-ATT-006	ACP-ATT-006	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	The source provides explicit click-to-focus routes from pings and the HUD; Turn adapts them to optional automatic navigation governed by user-active-state deferral while preserving the original demand.
CAP-055	local_voice_capture	On-device speech capture and inference run outside the control plane and never use a cloud fallback.	adapted	PRD-VOI-001	ACP-VOI-001	ADR-060	src/core/speech/speech-service.ts	a91dbfcbe761b73ee70f533d7d70c1abe0348d4ca135ba1b7b7c414a8fec8c37	The source offers local Whisper inside the application process alongside a cloud engine; Turn retains on-device capture but isolates inference in a least-privilege worker and forbids cloud fallback.
CAP-056	reviewed_voice_send	Transcription produces an editable memory-only draft that is inserted or sent only by the foreground operator.	adapted	PRD-VOI-002	ACP-VOI-002	ADR-060	src/renderer/components/DictationOverlay.tsx	f980bb11397665cfe218666a418216f0acfe7022594d335148fb2856fb5ed86c	The source inserts transcription directly into the selected terminal after recording ends without submitting Enter; Turn adapts this to a frozen-target editable memory-only draft and explicit Insert or Send.
CAP-057	local_speech_model_lifecycle	Speech models have explicit install, digest, size, licence, offline-use and deletion lifecycle.	adopted	PRD-VOI-003	ACP-VOI-003	ADR-060	src/core/speech/whisper-models.ts	4c7db67d84fce150dd9e76579c906ec2618ca1453c9d415e9797d0eddf5e611e	The source provides explicit local model download, inventory, deletion and offline use; Turn adopts that lifecycle and adds exact digest, size, licence and provenance verification.
CAP-058	browser_operator_surface	A self-hosted browser surface uses the same hierarchy, terminal, repository and Attention protocols.	adopted	PRD-SCL-009	ACP-SCL-009	ADR-063	src/server/main.ts	bb9ffffbf98d3db94b45b4916a39924513ae4ffd5b2f5abea9d72cb6158e7e8a	The full surface preserves revisions and recovery while withholding desktop-only authority.
CAP-059	ssh_runtime_file_repository	Remote runtimes, files and repositories remain bound to an authenticated host generation and exact root.	adopted	PRD-RUN-009	ACP-RUN-009	ADR-059	src/main/remote-workspace-io.ts	fb4c0328f7b375ab742eac1f629ed78b533c7dd8ee3bfb49a8030d46d8543dbe	No remote outage may produce a same-name local effect.
CAP-060	encrypted_pairing_revocation	Companion pairing establishes revocable end-to-end encrypted device identity with replay protection.	adapted	PRD-SAF-009	ACP-SAF-009	ADR-059	src/main/pairing-service.ts	3f1c0b97153adb7b96207b8a243986573217f36da9b45d9ebc39b4659d2331bf	The source combines pairing with relay and SSH device powers plus separate E2EE primitives; Turn adapts this to exact Invitation, Client and Session identities, one-use bootstrap and replay fences, scoped roles and atomic revocation.
CAP-061	ephemeral_team_presence	Collaborators can expose bounded presence and selection without granting input or control authority.	adopted	PRD-SAF-009	ACP-SAF-009	ADR-059	src/core/presence/hub.ts	d005778cc28457bafd5ce307e5971fd17404d9f5e3509490dce59f159bc8cf72	The source presence hub is bounded, ephemeral and non-authoritative; when shared remotely its confidentiality comes from the separately authenticated encrypted sharing transport.
CAP-062	remote_create_view_type	An authenticated full remote surface may create ordinary work, navigate views and type under an exact input lease.	adopted	PRD-SCL-009	ACP-SCL-009	ADR-063	src/main/remote/host-service.ts	d8b0412c84d0cfa8c3d3a9b9c210011ff6f5b29e702baee0e54713090a429553	The source provides authenticated remote creation, navigation and terminal use; Turn adopts those operations through the common typed mutation protocol while SAF-005 supplies the exclusive input lease.
CAP-063	local_only_sensitive_remote_boundary	Destructive lifecycle, provider deletion, external close, repository publication, secrets, trust and authority stay desktop-foreground-only.	adapted	PRD-SAF-012	ACP-SAF-012	ADR-059	src/main/remote/host-service.ts	d8b0412c84d0cfa8c3d3a9b9c210011ff6f5b29e702baee0e54713090a429553	Turn deliberately keeps a stronger safety boundary while retaining ordinary remote creation, viewing and input.
CAP-064	full_source_control	Repository status supports stage, unstage, discard, branch, commit, sync and push with exact scope and consequences.	adopted	PRD-RUN-006	ACP-RUN-006	ADR-059	src/renderer/components/SourceControlPanel.tsx	f4290bd40bde66909cbda32bd04c69f3aa8a6759aa022257bf62940174798141	Source-control operations are first-class target-bound tools.
CAP-065	isolated_worktrees	Worktree creation, reconciliation and assignment support concurrent agent-per-branch work without locking primary main.	adapted	PRD-HIE-009	ACP-HIE-009	ADR-065	src/shared/worktree-ops.ts	e46fe1e9a45d5a9c7538d7c594dd21f3027700cd522e278a8328109f48c18038	The source creates, binds, removes and merges worktrees and may merge or push through the base checkout; Turn adds isolated CheckoutScope ownership and reconciliation plus the invariant that primary main remains operator-only.
CAP-066	repository_host_auth	Repository hosting authentication and issue operations use an explicit credential seam with isolated failures.	adapted	PRD-RUN-013	ACP-RUN-013	ADR-066	src/core/github/integration.ts	1ceac55e83cdf77112bb02187313fa6a40e2d87b5cb6dc81c53cbc13e45e3150	The source has one GitHub credential and issue integration; Turn generalises it into a non-secret RepositoryHostProfile plus independently revocable RepositoryBackend and WorkItemSource grants.
CAP-067	live_session_board	A board projects live Sessions, Agents and WorkItems as alternate views over their canonical identities and runtimes.	adapted	PRD-VIE-011	ACP-VIE-011	ADR-063	src/renderer/components/kanban/KanbanView.tsx	724cd4c633d980e35cc783574d399850bbadc3438c193bd6cd28f3e70cb22986	Turn preserves source board behavior by projecting the same canonical Session, Agent and WorkItem identities: selection opens their existing WorkSurface/runtime, Session and Agent status is read-only where no WorkItem field applies, and board edits use only WorkItem-owned authority without creating a second identity, runtime or lifecycle authority.
CAP-068	external_issue_board_sync	External issue cards retain source identity and support conflict-aware move, close and reopen reconciliation.	adopted	PRD-VIE-012	ACP-VIE-012	ADR-064	src/core/github/integration.ts	1ceac55e83cdf77112bb02187313fa6a40e2d87b5cb6dc81c53cbc13e45e3150	External state is mapped through a rate-limited credential-isolated WorkItemSource.
CAP-069	target_file_explorer	A workspace file explorer navigates and edits only the selected target and root.	adopted	PRD-RUN-006	ACP-RUN-006	ADR-059	src/renderer/components/ExplorerPanel.tsx	137bcb5860859d4ac7e923967fd9136a16d4a8462c66a965b3bcf893e0cd2379	The source explorer follows the active workspace and remote route; Turn adopts that interaction under exact FileBackend target, root and generation paging while file open and save remain separate operations.
CAP-070	git_history_inspection	Commit history, graph and changed files are inspectable within the exact repository boundary.	adopted	PRD-RUN-006	ACP-RUN-006	ADR-059	src/renderer/components/git-history/GitHistoryPanel.tsx	11d86ac853470abfafa4c8ccb039cf310077a567e26732daa868dfb72f98e731	History inspection is read-only until a separate typed repository operation is chosen.
CAP-071	safe_generated_commit_proposals	A configured local agent may propose a commit message from a bounded staged diff without executing repository changes.	adapted	PRD-RUN-014	ACP-RUN-014	ADR-066	src/core/commit-message.ts	13be32a8db94a3b00ab1126918ba8059b7278023359502b20f8a72536d87066a	The source bounds the staged diff but launches a configurable helper in repository cwd with inherited environment; Turn retains proposal UX while removing repository, credential, environment and network authority under exact sandbox and resource limits.
CAP-072	host_session_memory_inventory	Host memory totals, availability, swap and pressure are reported per exact execution target with freshness and coverage.	adopted	PRD-OBS-010	ACP-OBS-010	ADR-065	src/renderer/components/SessionMemoryPanel.tsx	6aef914a778314e692f1615bd2ebb22866dadc3cb247c7b885e30523a8435a50	Unknown or failed collection never appears as zero and remote targets never use local data.
CAP-073	process_memory_attribution	Process-tree memory is attributed to runtime attempts and nodes while closed owners and unmatched survivors remain visible.	adopted	PRD-OBS-010	ACP-OBS-010	ADR-065	src/core/session-memory.ts	5eec411b6f65d61108741ec0791145a84b6f643dcf77634392efd53cf4c916c2	Stable process identity, shared-runtime buckets and partial coverage prevent double counting or invented splits.
CAP-074	target_runtime_inventory	Live handles unmatched to current attempts are recoverable as target-scoped inventory with exact adopt, ignore or terminate actions.	adapted	PRD-LIF-008	ACP-LIF-008	ADR-063	docs/session-memory.md	5a3090bfbbf71edcf0c9552d75c33e8a7360bc53f04d5117a4b37a8805fe6f17	The source inventories unmatched tmux sessions and supports navigation or termination; Turn adapts this to target-wide runtime handles with honest coverage and exact adopt, ignore or terminate actions.
