# product-capability-source-mapping-version: 1
# source-snapshot: 130cdc24bb493349d9b3f3c531198b7bb5fec3df
# expected-candidate-count: 1386
# expected-mapping-count: 2188
# resolutions: mapped supporting
# mapping-bases: ledger_evidence closed_registry manual_source_audit supporting_module_audit
mapping_id	candidate_id	resolution	feature_id	feature_disposition	mapping_basis	candidate_rationale
MAP-0011	CEN-0003	mapped	CAP-106	adapted	ledger_evidence	docs/codex-shared-identity.md is the frozen ledger evidence anchor for CAP-106 (shared_provider_runtime_endpoint_identity); normalized mappings record other responsibilities separately.
MAP-0012	CEN-0004	supporting	CAP-023	adopted	supporting_module_audit	docs/copilot-agent.md is an audited supporting product document for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0013	CEN-0005	supporting	CAP-023	adopted	supporting_module_audit	docs/gemini-agent.md is an audited supporting product document for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0014	CEN-0006	supporting	CAP-068	adopted	supporting_module_audit	docs/github-issues-kanban.md is an audited supporting product document for CAP-068 (external_issue_board_sync) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0015	CEN-0007	supporting	CAP-023	adopted	supporting_module_audit	docs/grok-agent.md is an audited supporting product document for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0016	CEN-0008	supporting	CAP-047	adapted	supporting_module_audit	docs/hook-reply-approvals.md is an audited supporting product document for CAP-047 (typed_permission_answers) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0017	CEN-0009	supporting	CAP-052	adopted	supporting_module_audit	docs/ios-protocol-migration.md is an audited supporting product document for CAP-052 (companion_usage_inbox) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0018	CEN-0009	supporting	CAP-060	adapted	supporting_module_audit	docs/ios-protocol-migration.md is an audited supporting product document for CAP-060 (encrypted_pairing_revocation) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0019	CEN-0010	supporting	CAP-080	irrelevant	supporting_module_audit	docs/mascot-sprites.md is an audited supporting product document for CAP-080 (visual_mascot_system) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0020	CEN-0011	supporting	CAP-052	adopted	supporting_module_audit	docs/mobile-usage-inbox.md is an audited supporting product document for CAP-052 (companion_usage_inbox) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0021	CEN-0011	supporting	CAP-076	adopted	supporting_module_audit	docs/mobile-usage-inbox.md is an audited supporting product document for CAP-076 (scoped_usage_activity) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0022	CEN-0012	supporting	CAP-038	adopted	supporting_module_audit	docs/node-identity.md documents tolerant context-link reads, prose refusal and the foreign-token/fail-open limits for CAP-038 (scoped_context_links) but adds no independent capability to Turn.
MAP-0023	CEN-0012	supporting	CAP-043	adapted	supporting_module_audit	docs/node-identity.md documents the legacy mutation fail-open window, per-node identity decision table and its explicit authorization/revocation limits for CAP-043 (delegated_agent_operations) but adds no independent capability to Turn.
MAP-0024	CEN-0012	supporting	CAP-096	adapted	supporting_module_audit	docs/node-identity.md documents strict Browser identity while explicitly disclaiming consent, same-uid isolation, token expiry and revocation for CAP-096 (reviewed_agent_browser_control) but adds no independent capability to Turn.
MAP-0025	CEN-0013	supporting	CAP-049	adapted	supporting_module_audit	docs/notch-hud.md is an audited supporting product document for CAP-049 (compact_attention_hud) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0026	CEN-0014	supporting	CAP-062	adopted	supporting_module_audit	docs/remote-sessions.md is an audited supporting product document for CAP-062 (remote_create_view_type) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0027	CEN-0015	mapped	CAP-074	adapted	ledger_evidence	docs/session-memory.md is the frozen ledger evidence anchor for CAP-074 (target_runtime_inventory); normalized mappings record other responsibilities separately.
MAP-0028	CEN-0016	supporting	CAP-059	adopted	supporting_module_audit	docs/ssh-agent-skills.md is an audited supporting product document for CAP-059 (ssh_runtime_file_repository) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0029	CEN-0017	supporting	CAP-061	adopted	supporting_module_audit	docs/team-presence.md is an audited supporting product document for CAP-061 (ephemeral_team_presence) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0030	CEN-0017	supporting	CAP-090	adapted	supporting_module_audit	docs/team-presence.md is an audited supporting product document for CAP-090 (ephemeral_collaborator_chat) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0031	CEN-0018	supporting	CAP-023	adopted	supporting_module_audit	docs/troubleshooting-codex-snap.md is an audited supporting product document for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0032	CEN-0018	supporting	CAP-025	adapted	supporting_module_audit	docs/troubleshooting-codex-snap.md is an audited supporting product document for CAP-025 (adapter_capability_probes) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0033	CEN-0019	mapped	CAP-050	adopted	manual_source_audit	scripts/install-server.sh is the productive headless notification-host install/update entrypoint for CAP-050 (background_push_delivery).
MAP-0034	CEN-0019	mapped	CAP-078	adapted	manual_source_audit	scripts/install-server.sh is the productive headless notification-host install/update entrypoint for CAP-078 (signed_update_lifecycle).
MAP-0035	CEN-0020	mapped	CAP-078	adapted	manual_source_audit	scripts/install.sh is the productive signed/notarized desktop install and update entrypoint for CAP-078 (signed_update_lifecycle).
MAP-0036	CEN-0021	supporting	CAP-027	adopted	supporting_module_audit	src/core/ack-sweep.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0037	CEN-0021	supporting	CAP-045	adapted	supporting_module_audit	src/core/ack-sweep.ts is an audited supporting source module for CAP-045 (attention_queue_authority) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0038	CEN-0021	supporting	CAP-046	adopted	supporting_module_audit	src/core/ack-sweep.ts is an audited supporting source module for CAP-046 (running_needs_input_done_status) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0039	CEN-0022	mapped	CAP-034	adopted	manual_source_audit	src/core/agent-env-ipc.ts directly transports bounded credential-reference environment snapshots for CAP-034 (byok_model_gateway), not managed provider account identity.
MAP-0040	CEN-0023	mapped	CAP-022	adapted	ledger_evidence	src/core/agent-session-name.ts is the frozen ledger evidence anchor for CAP-022 (safe_automatic_titles); normalized mappings record other responsibilities separately.
MAP-0041	CEN-0023	mapped	CAP-044	adopted	ledger_evidence	src/core/agent-session-name.ts is the frozen ledger evidence anchor for CAP-044 (conversation_title_read_rename); normalized mappings record other responsibilities separately.
MAP-0042	CEN-0024	mapped	CAP-027	adopted	ledger_evidence	src/core/agent-status-mirror.ts is the frozen ledger evidence anchor for CAP-027 (agent_turn_lifecycle); normalized mappings record other responsibilities separately.
MAP-0043	CEN-0024	mapped	CAP-045	adapted	ledger_evidence	src/core/agent-status-mirror.ts is the frozen ledger evidence anchor for CAP-045 (attention_queue_authority); normalized mappings record other responsibilities separately.
MAP-0044	CEN-0024	mapped	CAP-052	adopted	ledger_evidence	src/core/agent-status-mirror.ts is the frozen ledger evidence anchor for CAP-052 (companion_usage_inbox); normalized mappings record other responsibilities separately.
MAP-0045	CEN-0024	mapped	CAP-076	adopted	ledger_evidence	src/core/agent-status-mirror.ts is the frozen ledger evidence anchor for CAP-076 (scoped_usage_activity); normalized mappings record other responsibilities separately.
MAP-0046	CEN-0024	supporting	CAP-099	adapted	supporting_module_audit	src/core/agent-status-mirror.ts supports host launch-setting publication consumed by a Companion, without claiming that this source launches the process for CAP-099 (companion_started_agent_registration) with no independent capability beyond its primary evidence and closed registry surfaces.
MAP-0047	CEN-0025	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/agent-message-decide.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0048	CEN-0025	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/agent-message-decide.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0049	CEN-0025	supporting	CAP-040	adapted	supporting_module_audit	src/core/agents/agent-message-decide.ts is an audited supporting source module for CAP-040 (asynchronous_agent_messages) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0050	CEN-0026	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/agent-message-envelope.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0051	CEN-0026	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/agent-message-envelope.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0052	CEN-0026	supporting	CAP-040	adapted	supporting_module_audit	src/core/agents/agent-message-envelope.ts is an audited supporting source module for CAP-040 (asynchronous_agent_messages) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0053	CEN-0027	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/agent-message-flow.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0054	CEN-0027	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/agent-message-flow.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0055	CEN-0027	supporting	CAP-040	adapted	supporting_module_audit	src/core/agents/agent-message-flow.ts is an audited supporting source module for CAP-040 (asynchronous_agent_messages) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0056	CEN-0028	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/agent-message-scope.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0057	CEN-0028	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/agent-message-scope.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0058	CEN-0028	supporting	CAP-040	adapted	supporting_module_audit	src/core/agents/agent-message-scope.ts is an audited supporting source module for CAP-040 (asynchronous_agent_messages) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0059	CEN-0029	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/agent-message-trace.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0060	CEN-0029	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/agent-message-trace.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0061	CEN-0029	supporting	CAP-040	adapted	supporting_module_audit	src/core/agents/agent-message-trace.ts is an audited supporting source module for CAP-040 (asynchronous_agent_messages) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0062	CEN-0030	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/agent-message.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0063	CEN-0030	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/agent-message.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0064	CEN-0030	supporting	CAP-040	adapted	supporting_module_audit	src/core/agents/agent-message.ts is an audited supporting source module for CAP-040 (asynchronous_agent_messages) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0065	CEN-0031	mapped	CAP-040	adapted	ledger_evidence	src/core/agents/delivery-queue.ts is the frozen ledger evidence anchor for CAP-040 (asynchronous_agent_messages); normalized mappings record other responsibilities separately.
MAP-0066	CEN-0031	supporting	CAP-097	adapted	supporting_module_audit	src/core/agents/delivery-queue.ts is an audited supporting source module for CAP-097 (eco_agent_hibernation) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0067	CEN-0032	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/grok-paths.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0068	CEN-0032	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/grok-paths.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0069	CEN-0033	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hook-curl-config-sh.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0070	CEN-0033	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hook-curl-config-sh.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0071	CEN-0034	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hook-server.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0072	CEN-0034	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hook-server.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0073	CEN-0035	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/claude-tui.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0074	CEN-0035	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/claude-tui.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0075	CEN-0035	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/claude-tui.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0076	CEN-0036	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/claude.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0077	CEN-0036	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/claude.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0078	CEN-0036	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/claude.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0079	CEN-0037	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/codex-trust.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0080	CEN-0037	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/codex-trust.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0081	CEN-0037	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/codex-trust.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0082	CEN-0038	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/codex.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0083	CEN-0038	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/codex.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0084	CEN-0038	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/codex.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0085	CEN-0039	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/copilot.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0086	CEN-0039	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/copilot.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0087	CEN-0039	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/copilot.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0088	CEN-0040	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/gemini.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0089	CEN-0040	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/gemini.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0090	CEN-0040	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/gemini.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0091	CEN-0041	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/grok.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0092	CEN-0041	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/grok.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0093	CEN-0041	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/grok.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0094	CEN-0042	mapped	CAP-026	adopted	ledger_evidence	src/core/agents/hooks/index.ts is the frozen ledger evidence anchor for CAP-026 (normalized_agent_hooks); normalized mappings record other responsibilities separately.
MAP-0095	CEN-0043	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/install-helper.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0096	CEN-0043	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/install-helper.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0097	CEN-0043	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/install-helper.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0098	CEN-0044	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/managed-script.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0099	CEN-0044	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/managed-script.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0100	CEN-0044	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/managed-script.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0101	CEN-0045	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/hooks/opencode.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0102	CEN-0045	supporting	CAP-026	adopted	supporting_module_audit	src/core/agents/hooks/opencode.ts is an audited supporting source module for CAP-026 (normalized_agent_hooks) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0103	CEN-0045	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/hooks/opencode.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0104	CEN-0046	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/node-auth-secret.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0105	CEN-0046	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/node-auth-secret.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0106	CEN-0047	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/node-auth-token.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0107	CEN-0047	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/node-auth-token.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0108	CEN-0048	supporting	CAP-038	adopted	supporting_module_audit	src/core/agents/node-identity-policy.ts routes context-link reads through the tolerant identity bucket and therefore records its fail-open limit for CAP-038 (scoped_context_links) but adds no independent capability to Turn.
MAP-0109	CEN-0048	supporting	CAP-043	adapted	supporting_module_audit	src/core/agents/node-identity-policy.ts classifies legacy/verified/forged delegated mutations with a dated fail-open migration window for CAP-043 (delegated_agent_operations) but adds no independent capability to Turn.
MAP-0110	CEN-0048	supporting	CAP-096	adapted	supporting_module_audit	src/core/agents/node-identity-policy.ts classifies strict Browser identity but does not implement consent, ownership, Browser actions or revocation for CAP-096 (reviewed_agent_browser_control) but adds no independent capability to Turn.
MAP-0111	CEN-0049	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/node-token-files.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0112	CEN-0049	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/node-token-files.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0113	CEN-0050	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/node-token-service.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0114	CEN-0050	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/node-token-service.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0115	CEN-0051	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/pane-owner.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0116	CEN-0051	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/pane-owner.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0117	CEN-0052	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/pane-ownership.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0118	CEN-0052	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/pane-ownership.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0119	CEN-0053	supporting	CAP-023	adopted	supporting_module_audit	src/core/agents/pane-probe.ts is an audited supporting source module for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0120	CEN-0053	supporting	CAP-027	adopted	supporting_module_audit	src/core/agents/pane-probe.ts is an audited supporting source module for CAP-027 (agent_turn_lifecycle) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0121	CEN-0054	mapped	CAP-047	adapted	ledger_evidence	src/core/agents/pending-approvals.ts is the frozen ledger evidence anchor for CAP-047 (typed_permission_answers); normalized mappings record other responsibilities separately.
MAP-0122	CEN-0055	supporting	CAP-067	adapted	supporting_module_audit	src/core/board-log-handlers.ts is an audited supporting source module for CAP-067 (live_session_board) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0123	CEN-0055	supporting	CAP-083	adopted	supporting_module_audit	src/core/board-log-handlers.ts is an audited supporting source module for CAP-083 (board_activity_log) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0124	CEN-0056	mapped	CAP-083	adopted	ledger_evidence	src/core/board-log.ts is the frozen ledger evidence anchor for CAP-083 (board_activity_log); normalized mappings record other responsibilities separately.
MAP-0125	CEN-0057	mapped	CAP-013	adapted	ledger_evidence	src/core/canvas-images.ts is the frozen ledger evidence anchor for CAP-013 (bounded_media_import); normalized mappings record other responsibilities separately.
MAP-0126	CEN-0058	supporting	CAP-001	adapted	supporting_module_audit	src/core/canvas-sync.ts is an audited supporting source module for CAP-001 (canonical_operator_map) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0127	CEN-0058	supporting	CAP-017	adopted	supporting_module_audit	src/core/canvas-sync.ts is an audited supporting source module for CAP-017 (persisted_workspace_layout) and adds no independent capability beyond its primary evidence or closed registry surfaces.
