schema_version	family	classification	subject_kind	rationale
vNext	EcoHibernateIntent	bundle	eco_hibernate	possible_runtime_exit_or_wake
vNext	EcoHibernateReceipt	bundle	eco_hibernate	possible_runtime_exit_or_wake
vNext	FlowDefinition	deterministic_exclusion	none	immutable_definition_no_current_effect
vNext	FlowDefinitionRevision	deterministic_exclusion	none	immutable_definition_history
vNext	FlowOperationReceipt	bundle	flow_run	run_owned_possible_effect
vNext	FlowRun	bundle	flow_run	nonterminal_or_live_uncertain_child
vNext	FlowRunTrigger	bundle	flow_run	nonterminal_or_live_uncertain_child
vNext	GroupMembershipEdge	bundle	node_aggregate	node_provenance_under_one_subject_slot
vNext	GroupTree	deterministic_exclusion	none	internal_graph_history
vNext	InputLease	deterministic_exclusion	none	revoked_on_owner_end
vNext	InputLeaseHandoffProposal	deterministic_exclusion	none	expires_or_revokes_without_input_effect
vNext	Layout	deterministic_exclusion	none	presentation_only
vNext	LineageEdge	bundle	node_aggregate	node_provenance_under_one_subject_slot
vNext	MediaBlob	deterministic_exclusion	none	committed_inert_content_with_own_retention
vNext	MediaImportIntent	bundle	media_import	possible_source_or_commit_effect
vNext	MediaImportReceipt	bundle	media_import	possible_source_or_commit_effect
vNext	NameMutationReceipt	deterministic_exclusion	none	terminal_metadata_CAS
vNext	NameProposalMetadata	deterministic_exclusion	none	metadata_only
vNext	NativeJobProjection	bundle	native_job_projection	provider_owned_or_retained_creation_projection
vNext	Node	bundle	node_aggregate	eligible_slice_only_not_all_nodes
vNext	NoteRevision	deterministic_exclusion	none	inert_content_history
vNext	Pane	deterministic_exclusion	none	presentation_only
vNext	PaneNodeBinding	deterministic_exclusion	none	presentation_only
vNext	PendingInteraction	bundle	node_aggregate	live_agent_attention_or_authority_slice
vNext	PendingInteractionReceipt	bundle	node_aggregate	live_agent_attention_or_authority_slice
vNext	PermissionResponseClaim	bundle	node_aggregate	possible_input_effect_for_live_attempt
vNext	PermissionResponseReceipt	bundle	node_aggregate	possible_input_effect_for_live_attempt
vNext	PortableExportIntent	bundle	portable_export	possible_file_write
vNext	PortableExportReceipt	bundle	portable_export	possible_file_write
vNext	PresentationHistory	deterministic_exclusion	none	presentation_only
vNext	ProcessEdge	bundle	node_aggregate	node_provenance_under_one_subject_slot
vNext	ProgressUpdate	bundle	flow_run	eligible_run_owned_slice_only
vNext	Resource	bundle	flow_run	eligible_run_owned_slice_only
vNext	ResourceRevision	bundle	flow_run	eligible_run_owned_slice_only
vNext	RuntimeAttachmentReceipt	bundle	node_aggregate	possible_binding_effect_for_existing_attempt
vNext	RuntimeAttemptDetail	bundle	node_aggregate	live_unknown_or_uncertain_attempt_slice
vNext	RuntimeConfigurationReceipt	bundle	node_aggregate	possible_in_place_runtime_effect
vNext	RuntimeInputReceipt	bundle	node_aggregate	possible_input_effect_for_live_attempt
vNext	RuntimeInterruptReceipt	bundle	node_aggregate	possible_interrupt_effect_for_live_attempt
vNext	RuntimeLaunchIntent	bundle	runtime_launch	possible_spawn_effect
vNext	RuntimeLaunchReceipt	bundle	runtime_launch	possible_spawn_effect
vNext	RuntimeLifecycleIntent	bundle	runtime_lifecycle	possible_signal_stop_or_replacement_effect
vNext	RuntimeLifecycleReceipt	bundle	runtime_lifecycle	possible_signal_stop_or_replacement_effect
vNext	Session	deterministic_exclusion	none	container_row_removed_or_retained_by_total_reducer
vNext	SessionActivationReceipt	deterministic_exclusion	none	wrapper_over_pre_reserved_runtime_launch_children
vNext	SessionSettingsRecord	deterministic_exclusion	none	container_settings
vNext	SpawnEdge	bundle	node_aggregate	node_provenance_under_one_subject_slot
vNext	StepAttempt	bundle	flow_run	nonterminal_or_live_uncertain_run_child
vNext	Team	deterministic_exclusion	none	internal_relationship_metadata
vNext	TeamMembershipEdge	deterministic_exclusion	none	deterministic_retain_or_history_no_external_effect
vNext	TeamRevision	deterministic_exclusion	none	internal_relationship_history
vNext	TerminalHistoryMetadata	deterministic_exclusion	none	bounded_content_metadata_no_pending_effect
vNext	TransferTicket	bundle	transfer	possible_IO_or_publication_effect
vNext	WebPreviewLoadIntent	bundle	web_preview_load	possible_network_or_renderer_effect
vNext	WorkItemActivity	bundle	work_item_projection	external_projection_history_slice
vNext	WorkItemBinding	bundle	work_item_projection	external_key_ownership
vNext	WorkItemConflict	bundle	work_item_projection	active_external_conflict_slice
vNext	WorkItemCreateIntent	bundle	work_item_create	possible_provider_create_effect
vNext	WorkItemMutationIntent	bundle	work_item_mutation	possible_provider_mutation_effect
vNext	WorkItemMutationReceipt	bundle	work_item_mutation	possible_provider_mutation_effect
vNext	WorkItemProjection	bundle	work_item_projection	external_bound_or_unresolved_slice
vNext	Workspace	deterministic_exclusion	none	container_row
vNext	WorkspaceEvent	deterministic_exclusion	none	bounded_internal_journal
vNext	WorkspaceSemanticRecoveryEntry	deterministic_exclusion	none	recovery_control_record_not_a_subject
vNext	WorkspaceSemanticRecoveryInventory	deterministic_exclusion	none	recovery_control_record_not_a_subject
vNext	WorkspaceSemanticReservation	deterministic_exclusion	none	reservation_control_record_not_a_subject
vNext	WorkspaceSettingsRecord	deterministic_exclusion	none	container_settings
vNext	WorkspaceTargetBinding	deterministic_exclusion	none	target_reference_with_independent_target_stream
vNext	WorkspaceWriteLease	deterministic_exclusion	none	active_owner_rehomed_or_closed_ended_session_tombstone_then_installation_checkout_fence
