schema_version	capability_ref	operation	direction	effect_class	authority_class	state_streams	fence_derivation	idempotency_fingerprint	local_dispatch	remote_policy	remote_role_predicate
vNext	CAP-106	reconcile_runtime_endpoint_continuity_operation	client_request	pure_read	endpoint_broker	Installation+Workspace(derived_binding_owners)+ExecutionTarget(subject_target)	request:receipt+proof_digest+endpoint+key_epoch_revisions	canonical_request_v1	endpoint_broker	deny	none
vNext	CAP-106	revalidate_runtime_endpoint_continuity	client_request	domain_mutation	endpoint_broker	Installation+Workspace(derived_binding_owners)+ExecutionTarget(subject_target)	request:endpoint+target+root_fingerprint+prior_candidate_generations+endpoint_binding_inventory_revision+key_epoch+proof;daemon:binding_set+verification_buffer+rich_receipt+minimal_fence_capacity	operation_id+canonical_request_v1	endpoint_broker	deny	none
vNext	CAP-106	rotate_runtime_endpoint_continuity_key	client_request	domain_mutation	local_desktop_foreground	Installation+Workspace(derived_binding_owners)+ExecutionTarget(subject_target)	request:preassigned_RuntimeEndpointContinuityReceiptId+target+endpoint+root_fingerprint+key_epoch+broker_key_reference+preassigned_epoch;daemon:rich_receipt+minimal_fence_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-109	create_flow_definition	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:workspace+catalogue+policy_revisions+portable_schema;daemon:definition_id+capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-109	get_flow_run	client_request	pure_read	scoped_read	Workspace(subject_workspace)	request:run_id+known_revision+authorised_workspace_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-109	preflight_flow_run	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:surface+connection+flow_definition_id+immutable_definition_revision+typed_inputs_digest+target_trust_profile_adapter_capability_revisions+isolation_checkout_receipt_revision+dependency_graph_policy_revisions+run_bounds;daemon:preflight_id_body_result_run_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-109	remove_dependency_edge	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:surface+connection+workspace_identity_revision+edge_id_generation_revision+source_target_node_revisions+dependency_graph_revision;daemon:terminal_edge_removal_next_graph_receipt_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-109	retry_flow_step	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:run+step+attempt+definition+policy+current_result_set+expected_revisions;daemon:preassigned_attempt	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-109	set_dependency_edge	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:surface+connection+workspace_identity_revision+source_target_node_revisions+typed_result_contract_schema_digest+dependency_graph_revision+expected_absent_or_current_edge_generation_revision;daemon:new_edge_identity_if_absent+graph_edge_mutation_receipt_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-109	start_flow_run	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:definition+accepted_preflight+trigger_occurrence+expected_revisions;daemon:flow_run_id+capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-109	start_flow_step	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:run+step+immutable_start_policy+current_result_set+expected_revisions;daemon:readiness_receipt+preassigned_attempt	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-109	version_flow_definition	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)	request:definition+immutable_revision+catalogue+policy_revisions+replacement	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-110	delete_private_transcript_search_index	client_request	domain_mutation	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:preassigned_PrivateTranscriptSearchOperationId+profiled_provider+profile_revision+target_generation+namespace+policy+current_index+source+current_key_generations+current_descriptor_revision+consequence_review;daemon:unlink_worker+operation_receipt+minimal_fence+journal_correlation_recovery_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	get_historical_conversation_view	client_request	pure_read	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:surface+connection+active_historical_ViewTarget+profile_revision+target_generation+index+source+page_chain_revisions;daemon:HistoricalConversationViewBuffer+page+outbox_capacity	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	get_private_transcript_search_operation	client_request	pure_read	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:profile+target+namespace+operation_or_original_id+authorised_scope	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	get_private_transcript_search_state	client_request	pure_read	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:profile+target+namespace+known_index_revision	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	query_private_transcript_search	client_request	pure_read	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:surface+connection+profile_revision+target_generation+namespace+index+source+query+page_chain_revisions;daemon:PrivateTranscriptSearchQueryBuffer+page+selection_seal+outbox_capacity	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	rebuild_private_transcript_search_index	client_request	domain_mutation	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:preassigned_PrivateTranscriptSearchOperationId+profiled_provider+profile_revision+target_generation+namespace+policy+index+source_generations;daemon:worker+operation_receipt+minimal_fence+journal_correlation_recovery_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	reconcile_private_transcript_search_operation	client_request	domain_mutation	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:PrivateTranscriptSearchOperationId+receipt+policy+index+key+source+descriptor+worker_or_unlink_correlation	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	select_private_transcript_search_hit	client_request	navigation	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:surface+connection+ViewTarget_revision+profile_revision+target_generation+namespace+index+source+conversation+page_seal_revisions;daemon:HistoricalConversationViewBuffer+first_64KiB_page+outbox_chunk_capacity_before_Surface_CAS	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-110	set_private_transcript_search_policy	client_request	domain_mutation	local_desktop_foreground	Installation+ExecutionTarget(subject_target)	request:preassigned_PrivateTranscriptSearchOperationId+profiled_provider+profile_revision+target_generation+namespace+adapter_generation+transcript_root_generation+policy_generation+enabled_or_disabled_current_index_key_descriptor_revisions;daemon:new_index_key_generation_if_enable+operation_receipt+minimal_fence+worker_or_unlink+journal_correlation_recovery_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	close_session	client_request	domain_mutation	local_desktop_foreground	Installation+Workspace(subject_workspace)+ExecutionTarget(derived_runtime_targets)	request:surface_foreground_authority+exact_session_identity_generation+disposition;daemon:serial_current_graph+attention+authority+total_survivor_vector+pre_reserved_recovery+container_close_receipt	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	close_workspace	client_request	domain_mutation	local_desktop_foreground	Installation+Workspace(subject_workspace)+ExecutionTarget(derived_runtime_targets)	request:surface_foreground_authority+exact_workspace_identity_generation+disposition;daemon:serial_current_graph+attention+authority+total_session_survivor_vector+pre_reserved_recovery+current_close_epoch+container_close_receipt	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	get_container_close_survivor_inventory	client_request	pure_read	local_desktop_foreground	Installation+Workspace(derived_subject_workspaces)+ExecutionTarget(derived_runtime_targets)	request:surface_foreground_authority+container_close_receipt+receipt_revision+container_tombstone_generation+close_serialisation_point+typed_survivor_counts_roots+filter+row_byte_bounds	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	get_container_close_survivor_page	client_request	pure_read	local_desktop_foreground	Installation+Workspace(derived_subject_workspaces)+ExecutionTarget(derived_runtime_targets)	request:surface_foreground_authority+container_close_receipt+receipt_revision+typed_survivor_counts_roots+filter+authenticated_cursor+page_ordinal+predecessor_digest	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	get_semantic_recovery_inventory	client_request	pure_read	local_desktop_foreground	Installation+Workspace(optional_subject_workspace)	request:surface_foreground_authority+inventory_key_revision+closed_filter+optional_close_receipt_root+row_byte_bounds	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	get_semantic_recovery_page	client_request	pure_read	local_desktop_foreground	Installation+Workspace(optional_subject_workspace)	request:surface_foreground_authority+inventory_key_revision+closed_filter+optional_close_receipt_root+authenticated_cursor+page_ordinal+predecessor_digest	canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	delete_session	client_request	domain_mutation	local_desktop_foreground	Installation+Workspace(subject_workspace)+ExecutionTarget(derived_runtime_targets)	request:surface_foreground_authority+exact_session_identity_generation+disposition;daemon:serial_current_graph+attention+authority+total_tombstone_rehome_recovery_vector+container_close_receipt	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-111	delete_workspace	client_request	domain_mutation	local_desktop_foreground	Installation+Workspace(subject_workspace)+ExecutionTarget(derived_runtime_targets)	request:surface_foreground_authority+exact_workspace_identity_generation+disposition;daemon:serial_current_graph+attention+authority+total_tombstone_rehome_installation_recovery_vector+pre_reserved_recovery+container_close_receipt	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-112	attach_runtime_attempt	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:preassigned_RuntimeAttachmentReceiptId+owner+existing_live_or_orphaned_attempt+target+backend+handle+process_start+binding+ownership_registry+endpoint_receipt+all_generations;daemon:replay+correlation+recovery_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	attach_pane	client_request	navigation	foreground_surface	Installation+Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:connection+surface+surface_owner+surface_operation_sequence+installation_stream+session+pane+pane_binding+owner+live_attempt+binding+pty+buffer+size+stream+preassigned_PaneAttachmentId_AttachmentGeneration_BaselineGeneration+all_generations;daemon:attach_replay+future_detach_fence	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	adopt_conversation	client_request	domain_mutation	foreground_surface	Installation+Workspace(destination_workspace)+ExecutionTarget(subject_target)	request:preassigned_ConversationAdoptionReceiptId_NodeId_AgentInstanceId_RuntimeEndpointBindingId+conversation+inventory+source+session+tree+profile+grant+target+adapter+capability+endpoint+ownership_registry_revisions;daemon:replay+recovery_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	branch_agent_instance	client_request	domain_mutation	foreground_surface	Workspace(source_workspace)+Workspace(destination_workspace)+ExecutionTarget(subject_target)	request:source_node+source_instance+source_attempt+source_conversation+source_binding+lineage+destination_workspace+destination_session+optional_parent+tree+target+account+checkout+adapter+capability_catalogue+launch_policy_revisions+closed_branch_launch_spec;daemon:new_node+instance+attempt+launch_intent+launch_receipt+replay+recovery_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	create_agent_instance	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:workspace+session+optional_parent+tree+target+account+checkout+adapter+capability_catalogue+launch_policy_revisions+closed_launch_spec;daemon:new_node+instance+attempt+launch_intent+launch_receipt+replay+recovery_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	destroy_runtime_owner	client_request	domain_mutation	local_desktop_foreground	Installation+Workspace(subject_workspace)+ExecutionTarget(derived_runtime_targets)	request:node+owner+instance+attempt+runtime_disposition+all_generations;daemon:total_survivor_vector+reserved_recovery	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-112	detach_runtime_view	client_request	navigation	foreground_surface	Installation+Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:connection+surface+surface_owner+surface_operation_sequence+installation_stream+surface+pane_attachment+owner+attempt+pty+buffer_generations;daemon:pre_reserved_detach_replay_fence	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	get_conversation_adoption	client_request	pure_read	scoped_read	Installation+Workspace(owner_workspace)+ExecutionTarget(subject_target)	request:receipt_or_original_operation+authorised_subject_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	get_runtime_attachment_operation	client_request	pure_read	scoped_read	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:attachment_receipt_or_original_operation+authorised_subject_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	get_runtime_configuration_operation	client_request	pure_read	scoped_read	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:configuration_receipt_or_original_operation+authorised_subject_scope+target+backend+handle+process_start_generations	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	get_runtime_interrupt_operation	client_request	pure_read	scoped_read	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:interrupt_receipt_or_original_operation+authorised_subject_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	get_runtime_lifecycle_operation	client_request	pure_read	scoped_read	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:lifecycle_intent_or_original_operation+authorised_subject_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	get_runtime_launch_operation	client_request	pure_read	scoped_read	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:launch_intent_or_original_operation+authorised_subject_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	interrupt_runtime_owner	client_request	domain_mutation	authorised_control_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:owner+attempt+binding+target+backend+handle+process_start+lifecycle+input_safety+all_generations	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	kill_runtime_owner	client_request	domain_mutation	local_desktop_foreground	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:preassigned_RuntimeLifecycleIntentId+owner+attempt+binding+target+backend+handle+process_start+lifecycle+input_safety+all_generations+force_review;daemon:lifecycle_receipt_replay_correlation_recovery_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-112	reconcile_conversation_adoption	client_request	pure_read	scoped_read	Installation+Workspace(owner_workspace)+ExecutionTarget(subject_target)	request:receipt+fingerprint+registry+session+tree_revisions+authorised_subject_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	reconcile_runtime_attachment_operation	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:uncertain_receipt+owner+attempt+binding+target+backend+handle+process_start+endpoint_correlation+all_generations	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	reconcile_runtime_configuration_operation	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:receipt+old_attempt+binding+target+backend+handle+process_start+provider_correlation+all_generations	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	reconcile_runtime_interrupt_operation	client_request	domain_mutation	authorised_control_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:dispatching_or_uncertain_or_reconcile_receipt+owner+attempt+binding+target+backend+handle+process_start+lifecycle+input_safety+signal_correlation+all_generations	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	reconcile_runtime_lifecycle_operation	client_request	domain_mutation	local_desktop_foreground	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:intent+original_receipt+target+backend+handle+process_start+provider_correlations	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-112	reconcile_runtime_launch_operation	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:dispatching_or_uncertain_or_reconcile_intent+receipt+owner+preassigned_attempt+launch_spec+target+backend+provider_process_correlation+all_generations	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	recycle_runtime_owner	client_request	domain_mutation	local_desktop_foreground	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:preassigned_RuntimeLifecycleIntentId_replacement_RuntimeAttemptId_RuntimeLaunchIntentId+owner+attempt+binding+target+backend+handle+process_start+all_generations+replacement_preflight;daemon:lifecycle_launch_receipt_replay_correlation_recovery_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-112	resync_pane	client_request	navigation	foreground_surface	Installation+Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:connection+surface+surface_owner+surface_operation_sequence+installation_stream+session+pane+retired_attachment+owner+attempt+binding+pty+buffer+stream+all_generations;daemon:new_attachment_ids+resync_replay+future_detach_fence	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui_or_headless_status
vNext	CAP-112	restart_runtime_owner	client_request	domain_mutation	local_desktop_or_bulk_restart_dispatch	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:preassigned_RuntimeLifecycleIntentId_replacement_RuntimeAttemptId_RuntimeLaunchIntentId+owner+attempt+binding+target+backend+handle+process_start+all_generations+continuity+replacement_preflight;daemon:lifecycle_launch_receipt_replay_correlation_recovery_capacity	operation_id+canonical_request_v1	native_or_bulk_restart_dispatch	deny	none
vNext	CAP-112	resume_agent_instance	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:preassigned_RuntimeAttemptId_RuntimeLaunchIntentId_RuntimeLaunchReceiptId+node+instance+terminal_attempt_or_adoption_no_prior+conversation+proposed_or_current_binding+ownership_registry_revision+target+adapter+capability+policy_revisions+launch_correlation;daemon:replay_journal_correlation_recovery_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	switch_agent_configuration	client_request	domain_mutation	foreground_surface	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:preassigned_RuntimeAttemptId_RuntimeConfigurationReceiptId+node+instance+attempt+binding+target+backend+handle+process_start+configuration+adapter_capability+model_endpoint_revisions;daemon:replay_journal_correlation_recovery_capacity	operation_id+canonical_request_v1	native_foreground	allow_if_invited	full_gui
vNext	CAP-112	terminate_runtime_owner	client_request	domain_mutation	local_desktop_foreground	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:preassigned_RuntimeLifecycleIntentId+owner+attempt+binding+target+backend+handle+process_start+lifecycle+input_safety+all_generations+graceful_timeout;daemon:lifecycle_receipt_replay_correlation_recovery_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
