schema_version	subject_kind	key_schema	required_fences	family_bundle	eligibility_predicate	reservation_rule	success_transfer	release_proof
vNext	node_aggregate	NodeId	NodeRevision+SessionRevision+graph_revision+optional_AgentInstanceRevision+optional_RuntimeAttemptId_AttemptGeneration+optional_ConversationKey_binding_generation	Node,AgentInstance,RuntimeAttemptDetail,ConversationBinding,RuntimeAttachmentReceipt,RuntimeConfigurationReceipt,RuntimeInputReceipt,RuntimeInterruptReceipt,PendingInteraction,PendingInteractionReceipt,PermissionResponseClaim,PermissionResponseReceipt,ConversationAdoptionReceipt,SpawnEdge,ProcessEdge,GroupMembershipEdge,LineageEdge	live_unknown_or_orphaned_attempt_or_current_external_conversation	allocate_before_existing_inert_node_becomes_eligible_or_transfer(runtime_launch_or_companion_agent_launch)	none	no_live_external_uncertain_cleanup_cause_and_tombstone_replay_nonreuse_fences_durable
vNext	portable_export	PortableExportId	intent_review_revision+source_Workspace_revision+object_revision_vector+selection_redaction_omission_digest+package_hash+output_descriptor_generation+write_correlation	PortableExportIntent,PortableExportReceipt	committing_or_reconcile_required	allocate_before_commit_or_write	none	written_or_not_written_proved_and_temp_quiescent_and_replay_durable
vNext	portable_import_destination	PortableImportId	intent_review_revision+package_descriptor_hash_schema+destination_tag_and_revisions+remint_map_digest_generation+commit_correlation	PortableImportIntent,PortableImportReceipt	fresh_destination_commit_or_reconcile_required	allocate_at_fresh_destination_commit_before_remint_never_during_End	none	committed_or_not_imported_proved_and_remint_collision_replay_durable
vNext	repository_publish	RepositoryPublishIntentId	intent_revision+target_repository_destination_visibility_branch_tree_commit_remote_ref_upstream_config_credential_revisions+CheckoutScope_revision+worktree_lease_generations+provider_correlation	RepositoryPublishIntent,RepositoryPublishReceipt	possible_remote_or_config_effect_or_reconcile_required	allocate_before_create_remote_push_or_config	none	published_or_no_effect_proved_and_correlation_replay_durable
vNext	runtime_launch	RuntimeLaunchIntentId	AttemptOwner+preassigned_NodeId_AgentInstanceId_RuntimeAttemptId_AttemptGeneration+Workspace_Session_graph_target_trust_backend_adapter_account_catalogue_checkout_launch_policy_revisions+optional_conversation_binding	RuntimeLaunchIntent,RuntimeLaunchReceipt	prepared_or_dispatching_or_submitted_unconfirmed_or_reconcile_required	if_destination_Node_already_owns_node_aggregate_inherit;otherwise_allocate_before_identity_or_spawn;companion_child_inherit(companion_agent_launch)	created_live_Node_transfers_launch_to_node_aggregate;existing_reserved_Node_no_transfer;companion_parent_transfers_to_node	refused_or_proved_not_created_or_terminal_without_created_live_Node_and_permanent_replay_fence_durable
vNext	runtime_lifecycle	RuntimeLifecycleIntentId	AttemptOwner+RuntimeAttemptId_AttemptGeneration+target_backend_handle_process_start_binding_lifecycle_input_safety_generations+optional_replacement_attempt_launch	RuntimeLifecycleIntent,RuntimeLifecycleReceipt	prepared_through_possible_signal_stop_launch_or_reconcile_required	inherit(node_aggregate)_before_signal	replacement_runtime_launch_inherits_same_node_aggregate_and_never_transfers	no_effect_or_definite_terminal_and_cleanup_quiescent_and_replay_durable
vNext	transfer	TransferTicketId	TicketGeneration+ticket_revision+source_destination_endpoint_generations+size_hash+chunk_ledger_revision+descriptor_generation+expiry+publication_proof	TransferTicket	transferring_or_paused_with_temp_or_reconcile_required	allocate_before_source_IO_or_transfer(browser_download_quarantine)	none	completed_failed_cancelled_or_expired_with_publication_or_absence_proof_and_temp_quiescent_and_replay_durable
vNext	web_preview_load	WebPreviewLoadIntentId	intent_revision+WebPreview_NodeId_source_revision+URL_hash+policy_DNS_generation+HTTP_renderer_correlations	WebPreviewLoadIntent	fetching_or_fetch_unconfirmed_or_reconcile_required	allocate_before_DNS_or_request	none	loaded_failed_or_no_request_proved_and_socket_worker_buffer_quiescent_and_replay_durable
vNext	work_item_create	WorkItemCreationId	intent_revision+preassigned_WorkItemId_NodeId+destination_graph_revisions+source_profile_project_mapping_credential_generations+create_correlation	WorkItemCreateIntent	prepared_or_dispatching_or_reconcile_required	allocate_before_provider_effect	bound_or_retained_creation_projection_transfers_to_work_item_projection	cancelled_refused_or_no_view_proved_and_replay_durable
vNext	work_item_mutation	WorkItemMutationIntentId	intent_revision+WorkItemId_NodeId_binding_key_revisions+source_mapping_item_revisions+typed_payload_hash+provider_correlation+optional_conflict_revision	WorkItemMutationIntent,WorkItemMutationReceipt	prepared_or_dispatching_or_submitted_or_reconcile_required	inherit(work_item_projection)_before_provider_effect	none	resolved_or_not_applied_and_projection_or_replay_fence_durable
vNext	work_item_projection	WorkItemId+NodeId	projection_item_binding_key_source_mapping_conflict_registry_revisions	WorkItemProjection,WorkItemActivity,WorkItemBinding,WorkItemConflict	external_bound_or_stale_provider_owned_or_unresolved_external_create_conflict_or_mutation	allocate_before_import_adopt_publish_or_transfer(work_item_create)	none	local_delete_or_provider_tombstone_with_resurrection_key_replay_fences_durable
